,tweet,politican,Party,State
62,"While the bill was not perfect and had room to improve, it was responsive to the needs that I’ve been hearing from… https://t.co/KIbOGoAzeS",Lisa Murkowski ,R,AK 
63,We must work to support those who are suffering most from the impacts of the pandemic. I’m talking to folks back ho… https://t.co/QMqfDhhUky,Lisa Murkowski ,R,AK 
64,I spoke on the Senate floor to explain why I voted to advance this targeted relief pkg that included many pivotal p… https://t.co/rpF8ONzi8E,Lisa Murkowski ,R,AK 
65,"That's why I voted to advance a targeted #COVID19 Relief bill package, focused on addressing some of America’s most… https://t.co/UB4EcBnGTJ",Lisa Murkowski ,R,AK 
66,It’s so important that we work to provide necessary relief to Americans in order to address the continued impacts o… https://t.co/SDKdg9L0ID,Lisa Murkowski ,R,AK 
67,"I am especially grateful to my colleague, @SenDanSullivan, for his relentless efforts to educate the administration… https://t.co/TQ4j8zLMW1",Lisa Murkowski ,R,AK 
68,I’m pleased the administration has recognized the importance of a healthy seafood industry to Alaska’s economy by a… https://t.co/7lIKGdR81F,Lisa Murkowski ,R,AK 
69,Alaska’s seafood industry is facing numerous challenges because of the ongoing trade dispute and #COVID19. While I’… https://t.co/7yqTBRrJJj,Lisa Murkowski ,R,AK 
70,My hope is that the Senate will have an opportunity to advance this and move to get necessary relief to Americans.,Lisa Murkowski ,R,AK 
71,"While the measure is not perfect, there is important support in the bill for things like the PPP (vital to small bu… https://t.co/EQtxFCHk6O",Lisa Murkowski ,R,AK 
72,"It’s so important that we work to address the continued impacts of the #COVID19 pandemic on businesses, employees,… https://t.co/GV9gUUbvjq",Lisa Murkowski ,R,AK 
73,The importance of providing access to transitional housing assistance &amp; wraparound services for victims of domestic… https://t.co/8n9ONTK355,Lisa Murkowski ,R,AK 
74,I applaud the DOJ's @OVWJustice for providing critical funding for the Transitional Housing Assistance Program to t… https://t.co/UCv0nXhzKg,Lisa Murkowski ,R,AK 
75,U.S. @Surgeon_General Adams added that there should be an effort to ramp up local support for the vaccine through t… https://t.co/nZ9kpCHIlH,Lisa Murkowski ,R,AK 
76,"In regards to vaccine transparency, witness @NIHDirector Dr. Collins explained that he was aware and sympathetic wi… https://t.co/ZCJHK5cM3f",Lisa Murkowski ,R,AK 
77,"I spoke on the SAVE Act, my legislative effort with @SenatorBraun &amp; @SenatorHassan, which aims to improve public co… https://t.co/eFetrxxGox",Lisa Murkowski ,R,AK 
78,"During the hearing I shared my concern over low vaccination rates in Alaska, the safety of the Alaska Native popula… https://t.co/0bobAFzUer",Lisa Murkowski ,R,AK 
79,"In light of ongoing efforts to develop a safe and effective vaccine for #COVID19, I took part in a Senate HELP Comm… https://t.co/j9LvaQZ1Yh",Lisa Murkowski ,R,AK 
80,That’s why I joined my Senate colleagues cosponsoring the bipartisan Local News and Emergency Information Act of 20… https://t.co/MUPTF19jiW,Lisa Murkowski ,R,AK 
81,"Alaskans rely heavily on local radio stations for their news, but unfortunately, many are struggling to overcome th… https://t.co/7pLJ0BZbc5",Lisa Murkowski ,R,AK 
82,A big thank you to all the brave firefighters who continue to serve  and provide a helping hand on behalf of Alaska… https://t.co/NudNkS2GXY,Lisa Murkowski ,R,AK 
83,"A great opportunity for undergrads in #Alaska: @NOAA is supporting scholarships of up to $9,500 per year for two ye… https://t.co/p5SDmvM8WF",Lisa Murkowski ,R,AK 
84,This is great news for Alaska’s aviation industry. The @FAANews is also investing in the future of aviation workfor… https://t.co/uMv4FLmVPs,Lisa Murkowski ,R,AK 
85,"During fall, everybody has their own traditions. In my family—it’s our annual fall hunt in the Interior and harvest… https://t.co/RcVJFnsGcE",Lisa Murkowski ,R,AK 
86,Had a wonderful time on our annual fall duck hunting trip in the Interior. Great to continue this family tradition… https://t.co/WwSGqye03r,Lisa Murkowski ,R,AK 
87,"Happy #LaborDay Alaskans. Today is a day to get outside, enjoy the end of summer, and pay tribute to hard-working A… https://t.co/PYfHC3vAEI",Lisa Murkowski ,R,AK 
88,Crazy beautiful sunset this weekend at Pt. Woronzof. #Alaska https://t.co/FKJoGI3cXS,Lisa Murkowski ,R,AK 
89,I urge every American to take some time to support one another as we continue to address #COVID19. Take a moment to… https://t.co/jMyVMBrvsB,Lisa Murkowski ,R,AK 
90,The unfortunate truth is Alaska consistently tops the charts with some of the highest suicide rates in the country.… https://t.co/NPfUtTJyjV,Lisa Murkowski ,R,AK 
91,"Even as we move towards renewables, global demand for fossil fuels is expected to continue. So how can we best mana… https://t.co/MJkdozSRe5",Lisa Murkowski ,R,AK 
92,"I visited w/ Alaskans in different ways, whether it was utilizing virtual communication or meeting outside (which I… https://t.co/nyjkGoc7Oy",Lisa Murkowski ,R,AK 
93,"August this year was a bit different than years past. Typically I'm back in Alaska, traveling for work all over the… https://t.co/Oqf7mmvpNE",Lisa Murkowski ,R,AK 
94,"In conjunction with #NationalRecoveryMonth, Governor Dunleavy released a proclamation naming September… https://t.co/V9xendwWp7",Lisa Murkowski ,R,AK 
95,Over the past few years Alaska has made progress in providing greater resources for individuals and families facing… https://t.co/1Ez8DrFj4Z,Lisa Murkowski ,R,AK 
96,"The aviation industry has been hit hard by the economic impacts of the #COVID19 pandemic, which has only emphasized… https://t.co/DDpSWmDFuY",Lisa Murkowski ,R,AK 
97,"Over 80% of communities in Alaska are not connected to a road system, making aviation essential. I’m proud to join… https://t.co/nMkQkivnWU",Lisa Murkowski ,R,AK 
98,"Pat shared how @UA_System is diligently working to keep students, faculty, &amp; staff safe as classes restart. The Uni… https://t.co/eAJfWvbeju",Lisa Murkowski ,R,AK 
99,I had an opportunity to provide Pat with an update about Congressional efforts to support higher learning through t… https://t.co/rBMY5zWguy,Lisa Murkowski ,R,AK 
100,"I recently sat down with interim @UA_System President, Pat Pitney. Pat shared with me her vision for UA, and her co… https://t.co/Dt8YE2d3eX",Lisa Murkowski ,R,AK 
101,"I thank all of our frontline and essential workers at airports, hospitals, schools, grocery stores, and more – for… https://t.co/NHHiWWY36o",Lisa Murkowski ,R,AK 
102,The State of Alaska continues to require #COVID19 screening &amp; testing for those visiting the state. Last week I spo… https://t.co/08aLit51xo,Lisa Murkowski ,R,AK 
103,Our Alaska Census response numbers are low so please help us ensure the @uscensusbureau has a full and accurate… https://t.co/pozgikzDjQ,Lisa Murkowski ,R,AK 
104,The Alaska Delegation cannot stress enough the importance of participating in the #2020Census. What takes just ten… https://t.co/iC7OTOnwuz,Lisa Murkowski ,R,AK 
105,I appreciate these Alaskans for taking the time to meet with me. These are important conversations to have – they w… https://t.co/JTQvkaQJUL,Lisa Murkowski ,R,AK 
106,"Last week in Fairbanks, I sat down with @ExplorFairbanks and members of the local tourism industry to hear about th… https://t.co/SGLQPOJM09",Lisa Murkowski ,R,AK 
107,"Right now, @CCHRC_Alaska is designing and building homes that use 80% less energy than comparable homes currently b… https://t.co/hGce3BQLT3",Lisa Murkowski ,R,AK 
108,"I had the opportunity to visit @CCHRC_Alaska in Fairbanks, which is at the forefront of improving energy efficiency… https://t.co/fcGJaci6Fb",Lisa Murkowski ,R,AK 
109,Congrats to Superintendent Ty Mase of Lake &amp; Peninsula School District on being named Alaska 2021 Superintendent of… https://t.co/6G3Tmafwav,Lisa Murkowski ,R,AK 
110,We discussed state and federal efforts to address #COVID19 as well as the importance of preparing for the upcoming… https://t.co/63Nep7QPAn,Lisa Murkowski ,R,AK 
111,"Fairbanks is home to the only diagnostic virology laboratory in the state, the Alaska State Virology Laboratory. I… https://t.co/8O6owoZLft",Lisa Murkowski ,R,AK 
112,.@SenBrianSchatz &amp; I called on Defense Secretary Mark Esper to provide updates on how the DoD is preventing &amp; comba… https://t.co/hzckoPFEbS,Lisa Murkowski ,R,AK 
113,"In 2018, the DoD’s network ranked 19th out of 2,891 networks nationwide when it came to peer-to-peer file trading o… https://t.co/jmaqrNgkPo",Lisa Murkowski ,R,AK 
114,Thanks to @NSF for recognizing the value of preserving another Alaska Native language. This grant to @SHInstitute w… https://t.co/qvvUPYr72J,Lisa Murkowski ,R,AK 
115,"In June, I introduced the bipartisan Emergency Family Stabilization Act to help organizations serving vulnerable fa… https://t.co/dYDQ5qWoAD",Lisa Murkowski ,R,AK 
116,"For decades now, @CovenantHouseAK has been providing at-risk youth with safe, permanent housing, workforce training… https://t.co/wUPDy3GiFj",Lisa Murkowski ,R,AK 
117,I’m encouraged to see so many levels of government &amp; individuals working together to turn the tide on this crisis.… https://t.co/LQVYqu1Zqi,Lisa Murkowski ,R,AK 
118,"I’d like to thank Tara Sweeney, @ASIndianAffairs, for her leadership on the Operation Lady Justice Task Force, and… https://t.co/wkXtZ1qTdN",Lisa Murkowski ,R,AK 
119,"For the first time ever, we provided real dollars to prioritize the crisis of missing and murdered Native Americans… https://t.co/v10YC5xUit",Lisa Murkowski ,R,AK 
120,One of the most vulnerable times for an Alaska Native woman is the transition from a village to a hub community/cit… https://t.co/7F9X5OWxxy,Lisa Murkowski ,R,AK 
121,"Alaska Native &amp; American Indians experience disproportionate rates of homicide &amp; have gone missing at alarming, una… https://t.co/dLNeBuSjWS",Lisa Murkowski ,R,AK 
122,The Postmaster General clarified that he had not intended to single out Alaska’s bypass mail system and that it is… https://t.co/qkdCUEDFnO,Lisa Murkowski ,R,AK 
123,".@SenDanSullivan, @RepDonYoung, &amp; I took part in a productive &amp; informative call w/ Postmaster General DeJoy, where… https://t.co/vBoIJDua3T",Lisa Murkowski ,R,AK 
124,"For many in rural Alaska, bypass mail is a vital service—delivering food and other vital goods. It’s truly a lifeli… https://t.co/YhfiFgWMiq",Lisa Murkowski ,R,AK 
125,"RT @Alaska_DHSS: Thanks to the Alaska Department of Fish and Game for this timely reminder about how to safely hunt, fish and trap while al…",Lisa Murkowski ,R,AK 
126,"Marine debris is detrimental to wildlife, damaging to our coastlines, costly to communities, &amp; harmful to Alaska’s… https://t.co/SdngDNy1lQ",Lisa Murkowski ,R,AK 
127,I applaud the administration for making this issue a priority and the many tribal advocates who urged action to mak… https://t.co/bJ2pa8ZlqR,Lisa Murkowski ,R,AK 
128,I worked hard to secure funding in the FY20 appropriations bill to improve the federal response to the #MMNA crisis… https://t.co/x1J2Xo1Zol,Lisa Murkowski ,R,AK 
129,"This opening of this office, dedicated to solving cold cases involving missing and murdered American Indians and Al… https://t.co/oeU2hAWKIa",Lisa Murkowski ,R,AK 
130,"It was an honor to join the rest of the Alaska Delegation, alongside federal, state, tribal, and local leaders, to… https://t.co/qGqoNwOuPP",Lisa Murkowski ,R,AK 
131,".@SenDanSullivan, @repdonyoung &amp; I issued the following statement after a call with U.S. Postmaster General DeJoy r… https://t.co/jtdZcmwzd5",Lisa Murkowski ,R,AK 
132,"On August 26th, 1920 –100 years ago today – the #19thAmendment was adopted into the U.S. Constitution. Today on… https://t.co/RBC5p8107j",Lisa Murkowski ,R,AK 
133,"Having grown up in Southeast, I know the clean, cost-saving renewable power of hydro. Thank you @NatlHydroAssoc for… https://t.co/Zdf2IPrqS9",Lisa Murkowski ,R,AK 
134,Congrats to @CIHousing &amp; the Anchorage Community Land Trust on your Housing Credit excellence award for transformin… https://t.co/pm3ehPONjB,Lisa Murkowski ,R,AK 
135,We know affordable housing is vital to advancing the shared prosperity of a community. It is important to health an… https://t.co/k84Y5lB2tO,Lisa Murkowski ,R,AK 
136,".@CDCDirector Robert Redfield stated, “Nothing can be more important than to try to increase the American public’s… https://t.co/vpNe3FxYD9",Lisa Murkowski ,R,AK 
137,"As we continue to navigate the #COVID19 pandemic, the need for Americans to get their flu shots is as important as… https://t.co/WdXikHTam2",Lisa Murkowski ,R,AK 
138,"Glad to see the growing support of my colleagues for the #PaycheckProtectionProgram Small Business Forgiveness Act,… https://t.co/1LEUprdGSN",Lisa Murkowski ,R,AK 
139,"RT @annezinkmd: Given all the robust conversation recently on ""risk factors"" I thought I would share this article on COVID-19, risk and how…",Lisa Murkowski ,R,AK 
140,The #COVID19 pandemic has placed unprecedented financial hardships on small businesses across Alaska and hard-worki… https://t.co/MHFnxRGRx3,Lisa Murkowski ,R,AK 
141,I thank the Administration’s timely approval of this grant and appreciate @GovDunleavy &amp; his team for taking quick… https://t.co/Ysqd8sYxAs,Lisa Murkowski ,R,AK 
142,Good news for AK—@FEMA approved the State of Alaska for a $19.9 million grant under the Lost Wages Assistance Progr… https://t.co/NfkEnM8FfF,Lisa Murkowski ,R,AK 
143,".@USACEHQ announced the Pebble mine project cannot be permitted as currently proposed, after finding the project wo… https://t.co/R12uFNXeMD",Lisa Murkowski ,R,AK 
144,"If you’ve received the questionnaire in the mail, or you’ve gotten phone calls, or you have had a Census individual… https://t.co/XJK1oxFERD",Lisa Murkowski ,R,AK 
145,"We base formulas for federal fending on it, we use it for voting &amp; apportionment purposes. We can’t get these numbe… https://t.co/u2I4TMdnha",Lisa Murkowski ,R,AK 
146,"The #2020Census - the count of Americans from Alaska to Maine, and all the places in between matters. The accuracy… https://t.co/XfBRd7vfh3",Lisa Murkowski ,R,AK 
147,I am honored to be listed among these incredible women Thank you to the many women who blazed trails &amp; those who co… https://t.co/wd6ULLwZNs,Lisa Murkowski ,R,AK 
148,"As an Alaskan woman, I grew up with many strong female role models. Women like Elizabeth Peratrovich, who worked ti… https://t.co/iCEfiMNKWB",Lisa Murkowski ,R,AK 
149,I thank @Energy @BLMNational for partnering with Alaskans to ensure the responsible development of our resources. G… https://t.co/6Nxlzd0qfU,Lisa Murkowski ,R,AK 
150,Some big resource development wins for Alaska the past few weeks—with the final environmental impact statement for… https://t.co/7bH926jqn8,Lisa Murkowski ,R,AK 
151,My statement with @SenDanSullivan and @RepDonYoung in response to the Postmaster General’s testimony today regardin… https://t.co/DEcuQLSDmB,Lisa Murkowski ,R,AK 
152,"To Alaska's teachers: Thank for your commitment to educating Alaska’s youth, whether in person or from a distance.… https://t.co/qi7RbpbTBI",Lisa Murkowski ,R,AK 
153,"This week marks the first day of school for many districts across Alaska, with more right around the corner. The st… https://t.co/aAxgWBFBeg",Lisa Murkowski ,R,AK 
154,I thank @DepSecMenezes and the @Energy team and congratulate AGDC on this important step in their efforts to commer… https://t.co/iB7zjQuw5o,Lisa Murkowski ,R,AK 
155,The project should soon have all of the major federal authorizations it needs to ship LNG overseas. Even when marke… https://t.co/BqSJvzO8k9,Lisa Murkowski ,R,AK 
156,A final export license from @Energy is an important asset for Alaska LNG. After @FERC approved the project earlier… https://t.co/KCPquFu0vL,Lisa Murkowski ,R,AK 
157,Great News: @US_ILMS has announced that 47 different Alaskan organizations will receive Institute of Museum and Lib… https://t.co/Cee5mQBEI9,Lisa Murkowski ,R,AK 
158,We also discussed my efforts in Congress to support health care workers on the frontline of the pandemic. I cannot… https://t.co/BiR1NncZCt,Lisa Murkowski ,R,AK 
159,"It was a great opportunity to view their ER wing, pediatric ER wing, and new Service Operations Center – an innovat… https://t.co/Qw5jeQM3s3",Lisa Murkowski ,R,AK 
160,I recently visited @ProvAK Medical Center in Anchorage to speak with staff about Providence’s ongoing #COVID19 resp… https://t.co/M3hXoruqoU,Lisa Murkowski ,R,AK 
161,Know I will continue to provide support at the federal level for organizations like CIHA who are so important to pr… https://t.co/k6fiHW8WzX,Lisa Murkowski ,R,AK 
162,This comprehensive project targets multiple groups of homeowners &amp; was designed and built utilizing various funding… https://t.co/UsLZof845l,Lisa Murkowski ,R,AK 
163,"For decades now @CIHousing has been providing Alaskans in need w/ affordable, safe housing opportunities that empow… https://t.co/d69fk53wjj",Lisa Murkowski ,R,AK 
164,Glad to serve as Crab Fest Grand Marshal w/ @SenDanSullivan for the Grand Opening of 2020 Kodiak Crab Festival! The… https://t.co/fOSx1TZGDb,Lisa Murkowski ,R,AK 
165,This was an encouraging meeting on the ability of Alaska’s postal workers to maintain the operational status of a v… https://t.co/pK3LIyzCzr,Lisa Murkowski ,R,AK 
166,While #COVID19 has caused delays—including increased volume of pkgs coming into the state &amp; issues w/ staff turnove… https://t.co/xziXhJpAGF,Lisa Murkowski ,R,AK 
167,Ron assured me that national policy and procedural changes recently announced by the Postmaster General (and subseq… https://t.co/pnJeuXU2Y0,Lisa Murkowski ,R,AK 
168,"In light of widespread concern from Alaskans regarding timely delivery of mail, I met with Ron Haberman, Alaska Dis… https://t.co/oDtsP485qP",Lisa Murkowski ,R,AK 
169,Tune in here to “Sea What Matters” as @SenDanSullivan and I help kickoff this special event. https://t.co/hN3eyclEc0,Lisa Murkowski ,R,AK 
170,"This year’s Crab Festival is offering folks in Kodiak &amp; across Alaska opportunities to participate online, where yo… https://t.co/4B0P5iwHFl",Lisa Murkowski ,R,AK 
171,"Today marks the start of the 62nd annual Kodiak Crab Festival, which has gone virtual this year due to #COVID19. It… https://t.co/ClryrrBljc",Lisa Murkowski ,R,AK 
172,#IVoted 🇺🇸 because it’s my right and civic duty. To all my fellow Alaskans who also cast their vote in today’s prim… https://t.co/ISFxr5uNWj,Lisa Murkowski ,R,AK 
173,As we acknowledge the 100th anniversary of women’s suffrage and the progress we have made I am reminded of the work… https://t.co/pULDN37Pgi,Lisa Murkowski ,R,AK 
174,"As of right now, we are at an all-time high in the U.S. Senate with 26 female senators. But this all-time high is s… https://t.co/zmXKNWZkJZ",Lisa Murkowski ,R,AK 
175,"Looking back at Alaska’s history, we have been a relatively progressive state when it comes to women’s rights. But… https://t.co/NnzUXcMhEn",Lisa Murkowski ,R,AK 
176,"I take pride in the fact that Alaska is filled w/ strong, independent women. Alaskan women own and captain their ow… https://t.co/RHQeRAnHLy",Lisa Murkowski ,R,AK 
177,I’m proud to join @smithsonian @amhistorymuseum’s efforts to celebrate the 100th anniversary of the ratification of… https://t.co/wPtf5jA2Zj,Lisa Murkowski ,R,AK 
178,"Today marks the 100th anniversary of the #19thAmendment being ratified, giving women the right to vote. Today we ho… https://t.co/X2txupLJSg",Lisa Murkowski ,R,AK 
179,"When you find you are able to give back &amp; help your neighbors, help your state, help your country– that’s a pretty… https://t.co/QVAHGfCJlD",Lisa Murkowski ,R,AK 
180,"As part of the project @astartingpoint, creators @ChrisEvans &amp; @MarkKassen asked me what inspired me to get into po… https://t.co/KaIV2aTVf1",Lisa Murkowski ,R,AK 
181,RT @CDCgov: #COVID19 can be spread by people who do not have symptoms &amp; do not know that they are infected. Masks can help prevent people w…,Lisa Murkowski ,R,AK 
