,tweet,politican,Party,State
58,Congrats to Superintendent Ty Mase of Lake &amp; Peninsula School District on being named Alaska 2021 Superintendent of… https://t.co/6G3Tmafwav,Lisa Murkowski ,R,AK 
59,We discussed state and federal efforts to address #COVID19 as well as the importance of preparing for the upcoming… https://t.co/63Nep7QPAn,Lisa Murkowski ,R,AK 
60,"Fairbanks is home to the only diagnostic virology laboratory in the state, the Alaska State Virology Laboratory. I… https://t.co/8O6owoZLft",Lisa Murkowski ,R,AK 
61,.@SenBrianSchatz &amp; I called on Defense Secretary Mark Esper to provide updates on how the DoD is preventing &amp; comba… https://t.co/hzckoPFEbS,Lisa Murkowski ,R,AK 
62,"In 2018, the DoD’s network ranked 19th out of 2,891 networks nationwide when it came to peer-to-peer file trading o… https://t.co/jmaqrNgkPo",Lisa Murkowski ,R,AK 
63,Thanks to @NSF for recognizing the value of preserving another Alaska Native language. This grant to @SHInstitute w… https://t.co/qvvUPYr72J,Lisa Murkowski ,R,AK 
64,"In June, I introduced the bipartisan Emergency Family Stabilization Act to help organizations serving vulnerable fa… https://t.co/dYDQ5qWoAD",Lisa Murkowski ,R,AK 
65,"For decades now, @CovenantHouseAK has been providing at-risk youth with safe, permanent housing, workforce training… https://t.co/wUPDy3GiFj",Lisa Murkowski ,R,AK 
66,I’m encouraged to see so many levels of government &amp; individuals working together to turn the tide on this crisis.… https://t.co/LQVYqu1Zqi,Lisa Murkowski ,R,AK 
67,"I’d like to thank Tara Sweeney, @ASIndianAffairs, for her leadership on the Operation Lady Justice Task Force, and… https://t.co/wkXtZ1qTdN",Lisa Murkowski ,R,AK 
68,"For the first time ever, we provided real dollars to prioritize the crisis of missing and murdered Native Americans… https://t.co/v10YC5xUit",Lisa Murkowski ,R,AK 
69,One of the most vulnerable times for an Alaska Native woman is the transition from a village to a hub community/cit… https://t.co/7F9X5OWxxy,Lisa Murkowski ,R,AK 
70,"Alaska Native &amp; American Indians experience disproportionate rates of homicide &amp; have gone missing at alarming, una… https://t.co/dLNeBuSjWS",Lisa Murkowski ,R,AK 
71,The Postmaster General clarified that he had not intended to single out Alaska’s bypass mail system and that it is… https://t.co/qkdCUEDFnO,Lisa Murkowski ,R,AK 
72,".@SenDanSullivan, @RepDonYoung, &amp; I took part in a productive &amp; informative call w/ Postmaster General DeJoy, where… https://t.co/vBoIJDua3T",Lisa Murkowski ,R,AK 
73,"For many in rural Alaska, bypass mail is a vital service—delivering food and other vital goods. It’s truly a lifeli… https://t.co/YhfiFgWMiq",Lisa Murkowski ,R,AK 
74,"RT @Alaska_DHSS: Thanks to the Alaska Department of Fish and Game for this timely reminder about how to safely hunt, fish and trap while al…",Lisa Murkowski ,R,AK 
75,"Marine debris is detrimental to wildlife, damaging to our coastlines, costly to communities, &amp; harmful to Alaska’s… https://t.co/SdngDNy1lQ",Lisa Murkowski ,R,AK 
76,I applaud the administration for making this issue a priority and the many tribal advocates who urged action to mak… https://t.co/bJ2pa8ZlqR,Lisa Murkowski ,R,AK 
77,I worked hard to secure funding in the FY20 appropriations bill to improve the federal response to the #MMNA crisis… https://t.co/x1J2Xo1Zol,Lisa Murkowski ,R,AK 
78,"This opening of this office, dedicated to solving cold cases involving missing and murdered American Indians and Al… https://t.co/oeU2hAWKIa",Lisa Murkowski ,R,AK 
79,"It was an honor to join the rest of the Alaska Delegation, alongside federal, state, tribal, and local leaders, to… https://t.co/qGqoNwOuPP",Lisa Murkowski ,R,AK 
80,".@SenDanSullivan, @repdonyoung &amp; I issued the following statement after a call with U.S. Postmaster General DeJoy r… https://t.co/jtdZcmwzd5",Lisa Murkowski ,R,AK 
81,"On August 26th, 1920 –100 years ago today – the #19thAmendment was adopted into the U.S. Constitution. Today on… https://t.co/RBC5p8107j",Lisa Murkowski ,R,AK 
82,"Having grown up in Southeast, I know the clean, cost-saving renewable power of hydro. Thank you @NatlHydroAssoc for… https://t.co/Zdf2IPrqS9",Lisa Murkowski ,R,AK 
83,Congrats to @CIHousing &amp; the Anchorage Community Land Trust on your Housing Credit excellence award for transformin… https://t.co/pm3ehPONjB,Lisa Murkowski ,R,AK 
84,We know affordable housing is vital to advancing the shared prosperity of a community. It is important to health an… https://t.co/k84Y5lB2tO,Lisa Murkowski ,R,AK 
85,".@CDCDirector Robert Redfield stated, “Nothing can be more important than to try to increase the American public’s… https://t.co/vpNe3FxYD9",Lisa Murkowski ,R,AK 
86,"As we continue to navigate the #COVID19 pandemic, the need for Americans to get their flu shots is as important as… https://t.co/WdXikHTam2",Lisa Murkowski ,R,AK 
87,"Glad to see the growing support of my colleagues for the #PaycheckProtectionProgram Small Business Forgiveness Act,… https://t.co/1LEUprdGSN",Lisa Murkowski ,R,AK 
88,"RT @annezinkmd: Given all the robust conversation recently on ""risk factors"" I thought I would share this article on COVID-19, risk and how…",Lisa Murkowski ,R,AK 
89,The #COVID19 pandemic has placed unprecedented financial hardships on small businesses across Alaska and hard-worki… https://t.co/MHFnxRGRx3,Lisa Murkowski ,R,AK 
90,I thank the Administration’s timely approval of this grant and appreciate @GovDunleavy &amp; his team for taking quick… https://t.co/Ysqd8sYxAs,Lisa Murkowski ,R,AK 
91,Good news for AK—@FEMA approved the State of Alaska for a $19.9 million grant under the Lost Wages Assistance Progr… https://t.co/NfkEnM8FfF,Lisa Murkowski ,R,AK 
92,".@USACEHQ announced the Pebble mine project cannot be permitted as currently proposed, after finding the project wo… https://t.co/R12uFNXeMD",Lisa Murkowski ,R,AK 
93,"If you’ve received the questionnaire in the mail, or you’ve gotten phone calls, or you have had a Census individual… https://t.co/XJK1oxFERD",Lisa Murkowski ,R,AK 
94,"We base formulas for federal fending on it, we use it for voting &amp; apportionment purposes. We can’t get these numbe… https://t.co/u2I4TMdnha",Lisa Murkowski ,R,AK 
95,"The #2020Census - the count of Americans from Alaska to Maine, and all the places in between matters. The accuracy… https://t.co/XfBRd7vfh3",Lisa Murkowski ,R,AK 
96,I am honored to be listed among these incredible women Thank you to the many women who blazed trails &amp; those who co… https://t.co/wd6ULLwZNs,Lisa Murkowski ,R,AK 
97,"As an Alaskan woman, I grew up with many strong female role models. Women like Elizabeth Peratrovich, who worked ti… https://t.co/iCEfiMNKWB",Lisa Murkowski ,R,AK 
98,I thank @Energy @BLMNational for partnering with Alaskans to ensure the responsible development of our resources. G… https://t.co/6Nxlzd0qfU,Lisa Murkowski ,R,AK 
99,Some big resource development wins for Alaska the past few weeks—with the final environmental impact statement for… https://t.co/7bH926jqn8,Lisa Murkowski ,R,AK 
100,My statement with @SenDanSullivan and @RepDonYoung in response to the Postmaster General’s testimony today regardin… https://t.co/DEcuQLSDmB,Lisa Murkowski ,R,AK 
101,"To Alaska's teachers: Thank for your commitment to educating Alaska’s youth, whether in person or from a distance.… https://t.co/qi7RbpbTBI",Lisa Murkowski ,R,AK 
102,"This week marks the first day of school for many districts across Alaska, with more right around the corner. The st… https://t.co/aAxgWBFBeg",Lisa Murkowski ,R,AK 
103,I thank @DepSecMenezes and the @Energy team and congratulate AGDC on this important step in their efforts to commer… https://t.co/iB7zjQuw5o,Lisa Murkowski ,R,AK 
104,The project should soon have all of the major federal authorizations it needs to ship LNG overseas. Even when marke… https://t.co/BqSJvzO8k9,Lisa Murkowski ,R,AK 
105,A final export license from @Energy is an important asset for Alaska LNG. After @FERC approved the project earlier… https://t.co/KCPquFu0vL,Lisa Murkowski ,R,AK 
106,Great News: @US_ILMS has announced that 47 different Alaskan organizations will receive Institute of Museum and Lib… https://t.co/Cee5mQBEI9,Lisa Murkowski ,R,AK 
107,We also discussed my efforts in Congress to support health care workers on the frontline of the pandemic. I cannot… https://t.co/BiR1NncZCt,Lisa Murkowski ,R,AK 
108,"It was a great opportunity to view their ER wing, pediatric ER wing, and new Service Operations Center – an innovat… https://t.co/Qw5jeQM3s3",Lisa Murkowski ,R,AK 
109,I recently visited @ProvAK Medical Center in Anchorage to speak with staff about Providence’s ongoing #COVID19 resp… https://t.co/M3hXoruqoU,Lisa Murkowski ,R,AK 
110,Know I will continue to provide support at the federal level for organizations like CIHA who are so important to pr… https://t.co/k6fiHW8WzX,Lisa Murkowski ,R,AK 
111,This comprehensive project targets multiple groups of homeowners &amp; was designed and built utilizing various funding… https://t.co/UsLZof845l,Lisa Murkowski ,R,AK 
112,"For decades now @CIHousing has been providing Alaskans in need w/ affordable, safe housing opportunities that empow… https://t.co/d69fk53wjj",Lisa Murkowski ,R,AK 
113,Glad to serve as Crab Fest Grand Marshal w/ @SenDanSullivan for the Grand Opening of 2020 Kodiak Crab Festival! The… https://t.co/fOSx1TZGDb,Lisa Murkowski ,R,AK 
114,This was an encouraging meeting on the ability of Alaska’s postal workers to maintain the operational status of a v… https://t.co/pK3LIyzCzr,Lisa Murkowski ,R,AK 
115,While #COVID19 has caused delays—including increased volume of pkgs coming into the state &amp; issues w/ staff turnove… https://t.co/xziXhJpAGF,Lisa Murkowski ,R,AK 
116,Ron assured me that national policy and procedural changes recently announced by the Postmaster General (and subseq… https://t.co/pnJeuXU2Y0,Lisa Murkowski ,R,AK 
117,"In light of widespread concern from Alaskans regarding timely delivery of mail, I met with Ron Haberman, Alaska Dis… https://t.co/oDtsP485qP",Lisa Murkowski ,R,AK 
118,Tune in here to “Sea What Matters” as @SenDanSullivan and I help kickoff this special event. https://t.co/hN3eyclEc0,Lisa Murkowski ,R,AK 
119,"This year’s Crab Festival is offering folks in Kodiak &amp; across Alaska opportunities to participate online, where yo… https://t.co/4B0P5iwHFl",Lisa Murkowski ,R,AK 
120,"Today marks the start of the 62nd annual Kodiak Crab Festival, which has gone virtual this year due to #COVID19. It… https://t.co/ClryrrBljc",Lisa Murkowski ,R,AK 
121,#IVoted 🇺🇸 because it’s my right and civic duty. To all my fellow Alaskans who also cast their vote in today’s prim… https://t.co/ISFxr5uNWj,Lisa Murkowski ,R,AK 
122,As we acknowledge the 100th anniversary of women’s suffrage and the progress we have made I am reminded of the work… https://t.co/pULDN37Pgi,Lisa Murkowski ,R,AK 
123,"As of right now, we are at an all-time high in the U.S. Senate with 26 female senators. But this all-time high is s… https://t.co/zmXKNWZkJZ",Lisa Murkowski ,R,AK 
124,"Looking back at Alaska’s history, we have been a relatively progressive state when it comes to women’s rights. But… https://t.co/NnzUXcMhEn",Lisa Murkowski ,R,AK 
125,"I take pride in the fact that Alaska is filled w/ strong, independent women. Alaskan women own and captain their ow… https://t.co/RHQeRAnHLy",Lisa Murkowski ,R,AK 
126,I’m proud to join @smithsonian @amhistorymuseum’s efforts to celebrate the 100th anniversary of the ratification of… https://t.co/wPtf5jA2Zj,Lisa Murkowski ,R,AK 
127,"Today marks the 100th anniversary of the #19thAmendment being ratified, giving women the right to vote. Today we ho… https://t.co/X2txupLJSg",Lisa Murkowski ,R,AK 
128,"When you find you are able to give back &amp; help your neighbors, help your state, help your country– that’s a pretty… https://t.co/QVAHGfCJlD",Lisa Murkowski ,R,AK 
129,"As part of the project @astartingpoint, creators @ChrisEvans &amp; @MarkKassen asked me what inspired me to get into po… https://t.co/KaIV2aTVf1",Lisa Murkowski ,R,AK 
130,RT @CDCgov: #COVID19 can be spread by people who do not have symptoms &amp; do not know that they are infected. Masks can help prevent people w…,Lisa Murkowski ,R,AK 
131,"New opportunity in the 1002 Area is needed both now, as Alaskans navigate incredibly challenging times, and well in… https://t.co/qA9f6Pw1oP",Lisa Murkowski ,R,AK 
132,Today BLM released its Record of Decision for an oil and gas program in the non-wilderness Coastal Plain of ANWR. T… https://t.co/SpZJe5Gzkj,Lisa Murkowski ,R,AK 
133,"#COVID19 has had a devastating impact on the Alaska cruise season, but this project, geared towards growth and expa… https://t.co/LZ0zsVK2o5",Lisa Murkowski ,R,AK 
134,"I love that the new facility is truly Alaska-made, utilizing rehabilitated old Ketchikan Pulp Company buildings, hi… https://t.co/nJlXKNnVA7",Lisa Murkowski ,R,AK 
135,"During my recent visit to Ketchikan, I viewed the construction of a new 2-berth cruise ship dock being built collab… https://t.co/3opVKWSs0Q",Lisa Murkowski ,R,AK 
136,"As we continue to work to overcome the implications of #COVID19, we must look at all ways to improve investment &amp; d… https://t.co/jHeTzyEjX4",Lisa Murkowski ,R,AK 
137,"Alongside @SenDanSullivan &amp; @RepDonYoung, I've introduced legislation to make TED Bonds more accessible for the eco… https://t.co/nszT4AjEBB",Lisa Murkowski ,R,AK 
138,"Unfortunately, the limitations currently in place regarding the use of TED bonds hinder a number of opportunities f… https://t.co/OQVcpGad9y",Lisa Murkowski ,R,AK 
139,The original intent of Tribal Economic Development Bonds (TED Bonds) was to allow Indian Tribal Governments to fina… https://t.co/0EggL5Jcye,Lisa Murkowski ,R,AK 
140,"The LOCAL Infrastructure Act, a bipartisan bill I cosponsored, implements changes to the federal tax code to restor… https://t.co/2QkxScIEfg",Lisa Murkowski ,R,AK 
141,"Many communities such as Shishmaref, Diomede, and Stebbins still lack basic water and sanitation infrastructure, we… https://t.co/qmM84Z40HQ",Lisa Murkowski ,R,AK 
142,"The #COVID19 pandemic has put enormous strain on local and state government budgets, with many communities and boro… https://t.co/tbIBKOjXOd",Lisa Murkowski ,R,AK 
143,Great piece by @GovDunleavy on how telehealth is transforming health care in Alaska &amp; the urgent need at every leve… https://t.co/OyK5tVZeWl,Lisa Murkowski ,R,AK 
144,Here is my statement welcoming @BLMNational’s publication of the final Environmental Impact Statement for the Willo… https://t.co/vXLOJFebRU,Lisa Murkowski ,R,AK 
145,My statement on @GovDunleavy’s authorization of @Alaskalabor to begin the @FEMA application process and utilize sta… https://t.co/JnG7PI2VUW,Lisa Murkowski ,R,AK 
146,RT @AlaskaDEED: The Masks for Kids Across America Program is donating 4.25 million face masks to schools in low income communities across t…,Lisa Murkowski ,R,AK 
147,My statement on @POTUS's announcement that the United States has brokered an agreement to normalize relations betwe… https://t.co/ZiI2Qjx9uK,Lisa Murkowski ,R,AK 
148,"The Safe Authorization for Vaccines during Emergencies (SAVE) Act, my bill w/ @SenatorBraun &amp; @SenatorHassan works… https://t.co/CBI59U6Od2",Lisa Murkowski ,R,AK 
149,My focus right now is providing all Americans with the resources and support they need to address the impacts of th… https://t.co/Jb7Kufvisw,Lisa Murkowski ,R,AK 
150,"RT @annezinkmd: Oscar Avellaneda-Cruz is a photographer in Anchorage. 
""Let your eyes do the smiling,"" he says. 
Thank you, Oscar Avellaned…",Lisa Murkowski ,R,AK 
151,"RT @CDCEnvironment: Wondering when to use a mask? Wear a mask when you are in a public setting, especially when it is difficult stay 6 feet…",Lisa Murkowski ,R,AK 
152,"In the midst of a crisis, these employees have played a pivotal role in fighting #COVID19. Today, and every day, we honor them.",Lisa Murkowski ,R,AK 
153,"I’m glad to join my colleagues @SenatorBraun, @SenDavidPerdue, and @SenatorTimScott in introducing a resolution to… https://t.co/OFUFoKKhgj",Lisa Murkowski ,R,AK 
154,"Equally important to finding a safe, effective #COVID19 vaccine is ensuring Americans have the confidence to take i… https://t.co/jc19pS4O1p",Lisa Murkowski ,R,AK 
155,RT @usairforce: An F-22 Raptor aircraft assigned to the 3rd Wing approaches for landing at Joint Base Elmendorf-Richardson during Red Flag-…,Lisa Murkowski ,R,AK 
156,The Census is critical to the government making informed decisions about allocating federal dollars—we must ensure… https://t.co/hfzMR2jwZe,Lisa Murkowski ,R,AK 
157,"In Alaska &amp; across the country, the U.S. Census response has been very underwhelming. I’ve joined @SenBrianSchatz &amp;… https://t.co/QK74WzYpRe",Lisa Murkowski ,R,AK 
158,"With over 80% of our communities not accessible by road, Alaska has one of the most difficult populations to count… https://t.co/3uq2Hw241S",Lisa Murkowski ,R,AK 
159,"U.S. drug overdose deaths saw an increase of 4.8% in 2019 according to @CDCgov data compared to 2018, and #COVID19… https://t.co/4ygeC6Ga4y",Lisa Murkowski ,R,AK 
160,"Insightful Op-Ed by Dr. @RoneetLev on the MAT Act of 2019, my legislation w/ @SenatorHassan which works to ensure h… https://t.co/47PgrFi8ky",Lisa Murkowski ,R,AK 
161,"While in Ketchikan this past weekend, I was able to join a surprise celebration for Dave &amp; Maria for being named An… https://t.co/eRmI9akomY",Lisa Murkowski ,R,AK 
162,Dave and Maria Garcia have dedicated 16 years to serving as therapeutic foster parents through Community Connection… https://t.co/LvEuTWO5Ia,Lisa Murkowski ,R,AK 
163,"On the recent episode of my @EnergyGOP podcast, Murkowski’s Message, I interviewed @AlyeskaPipeline’s Brigham McCow… https://t.co/hG53WYznaK",Lisa Murkowski ,R,AK 
164,I hope everyone can enjoy some delicious Alaska wild salmon today as we honor this cornerstone species that is at t… https://t.co/ia6ArakY3m,Lisa Murkowski ,R,AK 
165,"Happy #AlaskaWildSalmonDay! Today we celebrate one of Alaska’s most important, sustainable resources that is truly… https://t.co/KikPU2Yw7c",Lisa Murkowski ,R,AK 
166,We worked hard in Congress to pass the CARES Act—critical legislation to help Alaskans navigate the economic impact… https://t.co/fNkk5adfBs,Lisa Murkowski ,R,AK 
167,I commend the Administration for its continued efforts to help Alaskans get back on their feet and I look forward t… https://t.co/kxUExWTaQZ,Lisa Murkowski ,R,AK 
168,RT @CDCgov: Could you or a loved one be at increased risk for COVID-19? Underlying medical conditions and lack of access to quality healthc…,Lisa Murkowski ,R,AK 
169,"My statement after President Trump took executive action this weekend to extend federal unemployment benefits, defe… https://t.co/ngvwp1NHHB",Lisa Murkowski ,R,AK 
170,"This bill will provide certainty for project developers who might suddenly face litigation that leads to delays, in… https://t.co/BvU3CMc4qn",Lisa Murkowski ,R,AK 
171,NWPs provide for expedited review of projects w/ minimal environmental impact but are threatened by a recent court… https://t.co/VbTWAhsiJI,Lisa Murkowski ,R,AK 
172,The @USACEHQ has long used nationwide permits to authorize dredge and fill activities for infrastructure projects a… https://t.co/xGmhAWRtpd,Lisa Murkowski ,R,AK 
173,"To combat #ClimateChange, we must reduce emissions—investing in new technology is one way. But finding &amp; implementi… https://t.co/tgcJ4rAdgI",Lisa Murkowski ,R,AK 
174,"As a part of a recently launched initiative, @ASP, a project to help educate others on America’s most pressing issu… https://t.co/43cibXvtZm",Lisa Murkowski ,R,AK 
175,"We need to continue to support airlines and the men and women who keep us flying safely, so Alaskans can get around our state and outside.",Lisa Murkowski ,R,AK 
176,I like the leg room but I hate the cost that comes with it. Flying on Alaska Airlines back home on a half empty pla… https://t.co/8DUmpRx7Ed,Lisa Murkowski ,R,AK 
177,"I recently spoke on the U.S. Senate floor, urging my colleagues on both sides of the aisle to come together to addr… https://t.co/RGRcnLbie4",Lisa Murkowski ,R,AK 
178,I applaud @TheJusticeDept's commitment to supporting @CovenantHouse and @AlaskaHousing Finance Corporation in their… https://t.co/RVGFsuIP8x,Lisa Murkowski ,R,AK 
179,"Through legislative reform, we can ensure greater protections for our athletes, make lasting cultural change, and p… https://t.co/Be9nT3xSrm",Lisa Murkowski ,R,AK 
180,"I’m proud the Empowering Olympic, Paralympic, and Amateur Athlete Act, legislation I cosponsored, unanimously passe… https://t.co/mrjZs4qpDa",Lisa Murkowski ,R,AK 
181,The Olympics are truly a special event—highlighting our national pride &amp; deepening cultural ties. Unfortunately ove… https://t.co/ZcJDvg99n3,Lisa Murkowski ,R,AK 
